,success,timestamp,base,date,rates
AED,True,1680895083,EUR,2023-04-07,4.006364
AFN,True,1680895083,EUR,2023-04-07,94.364137
ALL,True,1680895083,EUR,2023-04-07,112.632204
AMD,True,1680895083,EUR,2023-04-07,423.724952
ANG,True,1680895083,EUR,2023-04-07,1.966307
AOA,True,1680895083,EUR,2023-04-07,553.618095
ARS,True,1680895083,EUR,2023-04-07,230.281959
AUD,True,1680895083,EUR,2023-04-07,1.636461
AWG,True,1680895083,EUR,2023-04-07,1.963556
AZN,True,1680895083,EUR,2023-04-07,1.8588
BAM,True,1680895083,EUR,2023-04-07,1.953856
BBD,True,1680895083,EUR,2023-04-07,2.203008
BDT,True,1680895083,EUR,2023-04-07,115.495077
BGN,True,1680895083,EUR,2023-04-07,1.95143
BHD,True,1680895083,EUR,2023-04-07,0.41124
BIF,True,1680895083,EUR,2023-04-07,2270.089103
BMD,True,1680895083,EUR,2023-04-07,1.090865
BND,True,1680895083,EUR,2023-04-07,1.450856
BOB,True,1680895083,EUR,2023-04-07,7.53936
BRL,True,1680895083,EUR,2023-04-07,5.516547
BSD,True,1680895083,EUR,2023-04-07,1.090989
BTC,True,1680895083,EUR,2023-04-07,3.9117191e-05
BTN,True,1680895083,EUR,2023-04-07,89.199607
BWP,True,1680895083,EUR,2023-04-07,14.356386
BYN,True,1680895083,EUR,2023-04-07,2.754459
BYR,True,1680895083,EUR,2023-04-07,21380.944937
BZD,True,1680895083,EUR,2023-04-07,2.199171
CAD,True,1680895083,EUR,2023-04-07,1.474326
CDF,True,1680895083,EUR,2023-04-07,2234.640281
CHF,True,1680895083,EUR,2023-04-07,0.987277
CLF,True,1680895083,EUR,2023-04-07,0.03235
CLP,True,1680895083,EUR,2023-04-07,892.633066
CNY,True,1680895083,EUR,2023-04-07,7.495007
COP,True,1680895083,EUR,2023-04-07,4981.978343
CRC,True,1680895083,EUR,2023-04-07,586.805342
CUC,True,1680895083,EUR,2023-04-07,1.090865
