,rates
AED,4.005288
AFN,94.338788
ALL,112.601948
AMD,423.61113
ANG,1.965779
AOA,553.469381
ARS,230.283426
AUD,1.636041
AWG,1.963029
AZN,1.858301
BAM,1.953331
BBD,2.202416
BDT,115.464052
BGN,1.950906
BHD,0.411129
BIF,2269.479307
BMD,1.090572
BND,1.450467
BOB,7.537335
BRL,5.515065
BSD,1.090696
BTC,3.9104716e-05
BTN,89.175646
BWP,14.352529
BYN,2.753719
BYR,21375.201546
BZD,2.198581
CAD,1.474071
CDF,2234.040008
CHF,0.987081
CLF,0.032341
CLP,892.393285
CNY,7.492994
COP,4980.640075
CRC,586.647713
CUC,1.090572
CUP,28.900145
CVE,110.697258
CZK,23.436495
DJF,193.816798
DKK,7.451771
DOP,59.752842
DZD,147.994789
EGP,33.692993
ERN,16.358573
ETB,58.858572
EUR,1.0
FJD,2.423294
FKP,0.875741
GBP,0.878183
GEL,2.753737
GGP,0.875741
GHS,11.78238
GIP,0.875741
GMD,67.83775
GNF,9433.443927
GTQ,8.505094
GYD,230.69417
HKD,8.560823
HNL,26.795766
HRK,7.65393
HTG,169.062428
HUF,374.742604
IDR,16294.174364
ILS,3.927203
IMP,0.875741
INR,89.293651
IQD,1593.324972
IRR,46076.646575
ISK,149.714078
JEP,0.875741
JMD,165.857313
JOD,0.773656
JPY,144.210676
KES,145.755302
KGS,95.338181
KHR,4423.358417
KMF,492.120812
KPW,981.527729
KRW,1434.734482
KWD,0.334848
KYD,0.90893
KZT,486.466181
LAK,18746.924594
LBP,16647.574442
LKR,348.772149
LRD,177.272815
LSL,19.946969
LTL,3.220175
LVL,0.659676
LYD,5.193851
MAD,11.108604
MDL,19.797613
MGA,4760.345008
MKD,61.54221
MMK,2290.562701
MNT,3833.765076
MOP,8.819091
MRO,389.333841
MUR,49.381491
MVR,16.751591
MWK,1115.113444
MXN,19.763886
MYR,4.801829
MZN,68.97906
NAD,19.946964
NGN,507.116126
NIO,39.809922
NOK,11.449952
NPR,142.681033
NZD,1.743799
OMR,0.419969
PAB,1.090701
PEN,4.101681
PGK,3.844307
PHP,59.562112
PKR,309.722681
PLN,4.677663
PYG,7819.972072
QAR,3.97023
RON,4.935604
RSD,117.281664
RUB,88.449373
RWF,1207.262659
SAR,4.091225
SBD,9.059709
SCR,14.944843
SDG,652.711058
SEK,11.423632
SGD,1.451991
SHP,1.326953
SLE,23.546012
SLL,21538.787642
SOS,619.993898
SRD,39.767149
STD,22572.628349
SVC,9.543936
SYP,2740.111682
SZL,19.946956
THB,37.24342
TJS,11.894647
TMT,3.827906
TND,3.323521
TOP,2.557445
TRY,20.991362
TTD,7.405504
TWD,33.167592
TZS,2553.425999
UAH,40.099778
UGX,4081.840516
USD,1.090572
UYU,42.226625
UZS,12432.51555
VEF,2665219.510284
VES,26.672443
VND,25570.630136
VUV,129.018654
WST,2.955588
XAF,655.159857
XAG,0.043642
XAU,0.000543
XCD,2.947324
XDR,0.809277
XOF,654.892113
XPF,119.788771
YER,273.024973
ZAR,19.88603
ZMK,9816.456167
ZMW,21.597305
ZWL,351.16358
